Sample number,X1,X2,X3,X4,Y
250.0,2711190.7746092957,2995101.276127272,3169587.273435329,3416834.164721994,2467731.2879369888
251.0,2706197.981862412,2944186.5481033786,3118303.674435384,3232445.776476369,2372525.5638140095
252.0,2671817.0287404144,2901994.295957273,3164706.6292786486,3316151.673836526,2382190.733005919
253.0,2684581.64709817,2796364.529104111,2910115.021745085,2973795.6779427654,2382180.600954953
254.0,2533508.192085517,2738973.1208887026,2939977.9232323575,3144385.905948417,2269990.070703573
255.0,2660442.315077092,2854114.828199592,2976642.8250678247,3123327.140455534,2339826.0238912622
256.0,2446965.3492350383,2683982.3157180776,2870201.205222193,3051912.2230394976,2226016.077816672
257.0,2783346.7572399075,2975439.614170723,3154778.0556056458,3334847.6376172346,2445252.9665221395
258.0,2609183.038355067,2897324.2274828725,3013554.963329844,3254499.3032479384,2271619.019313027
259.0,2748044.8952512355,2950543.1493148175,3116481.1231102045,3267191.5155086964,2455412.0162543342
260.0,2666192.9759984086,2799711.363721295,2924184.582020453,3003021.4541896963,2394062.309493415
261.0,2540161.415460466,2685006.488485551,2820596.731822676,2893620.767074601,2181964.469314014
262.0,2540006.5423781606,2719724.103810475,2835814.6963032577,3021861.8450712305,2270956.7715169303
263.0,2574377.4843678847,2768184.6662460743,2924259.986965021,3054744.7920986656,2306007.259374169
264.0,2843607.744121697,3070824.835529304,3252016.497494455,3369679.7051558355,2529087.0172861917
265.0,2724324.4926217254,2962246.587123289,3103466.399337047,3307945.5747326524,2453304.016437858
266.0,2583955.5856327815,2725311.610468643,2854263.7961647804,2984312.572215606,2221800.794495547
267.0,2563975.106439728,2699782.1440113178,2814573.6739009744,2879414.5529046548,2287036.2691863747
268.0,2445202.4523337213,2643849.4066701536,2770854.51411827,2898730.8068273407,2090997.0769848973
269.0,2774200.691245725,2917608.920260789,3011698.852297646,3078800.7512357538,2479872.501374817
270.0,2612479.249633285,2814439.305198061,2978724.950855271,3089791.951961156,2379158.5065609994
271.0,2804490.6107767406,2989510.8537205877,3195816.942425318,3308691.7166356575,2408433.539964434
272.0,2711836.728549623,2852804.098293913,3013127.3169257976,3106063.615269111,2394830.958843995
273.0,2459001.075758708,2716051.4900782113,2899728.566691692,3114998.6409776784,2195428.0957077937
274.0,2421170.8294199044,2650476.456709817,2841372.844888092,3055492.35557386,2110551.6370761786
275.0,2854162.0998328812,3041701.436721291,3174930.625542014,3295451.3036504616,2483829.5492097745
276.0,2630409.833451244,2818459.536030172,2947681.2802084126,3171831.0240773666,2347847.554831984
277.0,2587358.5011315444,2863940.890722637,2995842.5415971084,3196521.820718832,2294763.3507056152
278.0,2411131.699863286,2639715.19701041,2781349.9180331696,2985332.5749364635,2207043.9126971727
279.0,2519648.1948291,2657237.9585162587,2818809.2217507116,2918814.273004296,2255012.3872452825
280.0,2515825.4858338074,2719719.7160427836,2854620.232327182,3006690.4087074534,2271686.3432522756
281.0,2394307.9604989416,2538112.5435566157,2710301.8247406883,2812836.815209793,2081198.7243080526
282.0,2671552.9561857753,2769138.117823723,2902197.0139495246,2936636.631381204,2332287.102381174
283.0,2628415.7818150916,2817548.3619583906,2954533.457948855,3037068.916458232,2400934.516417363
284.0,2810997.929336646,2980365.412632831,3186709.427692803,3328141.5982449288,2414467.4475044333
285.0,2870135.021034171,3051589.2817714517,3220501.9843909275,3315625.835437165,2530037.525558124
286.0,2728716.435538861,2904622.3222736954,3028926.8864398478,3118565.5919520333,2459261.4972021417
287.0,2648856.987202207,2766647.929897345,2881909.7189982333,2961324.2149129044,2339062.137954981
288.0,2576824.3285984243,2877130.659570269,3129191.760632849,3384660.914683897,2275487.9025936727
289.0,2523741.535100531,2763586.780300118,2889827.483837669,3139989.6242274805,2275923.0206208443
290.0,2697771.7868893263,2800341.533172799,2875500.094145654,2974422.0321373427,2351642.3331869403
291.0,2569740.225033009,2702656.800932229,2797405.4227737803,2928815.1841892083,2271662.9508409468
292.0,2435824.3455217783,2581223.407031865,2699601.0825277795,2822283.266631857,2082832.942045435
293.0,2510114.8383634845,2755304.383095193,2980204.253227938,3123277.806203313,2195891.82248819
294.0,2771484.453028869,3010628.860359159,3181968.382649268,3444065.715159351,2478139.866722752
295.0,2744608.1494862633,2899731.561501277,3024136.240619991,3106990.348709254,2443756.1780640353
296.0,2612931.583039198,2768208.6794332014,2850600.8742528027,2933378.0509305713,2282987.6304957108
297.0,2537007.673552193,2816216.3567923354,2991945.9233636414,3180384.458073705,2312600.194215444
